epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.853,0.85624,2.28056,1.05079,0.98083,0.85262,0.96933,0.73968,0.57389,57.7362,0.63575,0.000659091,0.000659091,0.000659091
2,402.763,0.76924,1.33662,0.95781,0.975,0.925,0.98345,0.72926,0.58149,31.6952,0.63161,0.00130826,0.00130826,0.00130826
3,607.636,0.77321,0.95292,0.95632,0.83177,0.86526,0.92696,0.72535,0.58142,70.1513,0.65879,0.00193982,0.00193982,0.00193982
4,815.822,0.75318,0.72034,0.9425,0.9985,1,0.995,0.78754,0.51175,10.9047,0.60217,0.0019208,0.0019208,0.0019208
5,1015.26,0.73066,0.62792,0.93695,0.98976,0.98333,0.99419,0.79834,0.55316,5.28011,0.60399,0.0018944,0.0018944,0.0018944
6,1211.73,0.69993,0.55535,0.93326,0.96652,0.96235,0.99074,0.79571,0.51015,16.4278,0.59186,0.001868,0.001868,0.001868
7,1437.65,0.68846,0.53579,0.93155,0.99683,1,0.995,0.79741,0.52271,1.48289,0.59123,0.0018416,0.0018416,0.0018416
8,1664.16,0.64166,0.47433,0.90767,0.98316,0.9732,0.99132,0.7973,0.50215,2.49029,0.59265,0.0018152,0.0018152,0.0018152
9,1890.75,0.65409,0.48523,0.91665,0.99947,0.99167,0.995,0.83523,0.39192,3.52857,0.56346,0.0017888,0.0017888,0.0017888
10,2093.54,0.63253,0.46763,0.90648,0.99908,1,0.995,0.82934,0.45291,1.13872,0.56851,0.0017624,0.0017624,0.0017624
11,2317.57,0.61311,0.44036,0.90191,0.99944,1,0.995,0.85657,0.38272,0.70737,0.55586,0.001736,0.001736,0.001736
12,2544.64,0.61049,0.42374,0.90218,0.99067,1,0.99492,0.84381,0.42642,0.85065,0.56039,0.0017096,0.0017096,0.0017096
13,2772.37,0.59744,0.42141,0.89549,0.99098,1,0.99492,0.81802,0.5093,1.19789,0.57689,0.0016832,0.0016832,0.0016832
14,2976.17,0.60917,0.41766,0.89752,0.99531,1,0.995,0.8467,0.46369,0.52953,0.57182,0.0016568,0.0016568,0.0016568
15,3199.73,0.57502,0.39187,0.89512,0.99173,0.99972,0.995,0.86243,0.41758,0.53313,0.55499,0.0016304,0.0016304,0.0016304
16,3426.16,0.57739,0.39917,0.89521,0.99967,1,0.995,0.82314,0.48685,0.83077,0.5697,0.001604,0.001604,0.001604
