epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.054,0.75952,2.21925,1.02499,0.94747,0.90187,0.95762,0.78542,0.41649,59.3025,0.59462,0.000659091,0.000659091,0.000659091
2,219.221,0.6362,1.3011,0.96096,0.95954,0.98824,0.99144,0.85062,0.39567,28.4846,0.64106,0.00129951,0.00129951,0.00129951
3,324.66,0.64363,0.94318,0.98044,0.97405,0.99167,0.99292,0.85321,0.40015,14.1225,0.66387,0.00191352,0.00191352,0.00191352
4,427.826,0.58861,0.7359,0.95139,0.88123,0.92751,0.96585,0.85238,0.35066,13.1299,0.63241,0.0018812,0.0018812,0.0018812
5,534.056,0.55755,0.59843,0.93615,0.96808,0.88333,0.97468,0.85267,0.35516,4.80314,0.62972,0.0018416,0.0018416,0.0018416
6,641.004,0.55313,0.54443,0.94341,0.98332,0.9828,0.99221,0.90387,0.30742,4.55715,0.60838,0.001802,0.001802,0.001802
7,749.384,0.51986,0.49081,0.92044,0.91271,0.95842,0.98416,0.88335,0.29335,2.69395,0.61423,0.0017624,0.0017624,0.0017624
8,859.515,0.50715,0.43914,0.90972,0.96118,0.88333,0.97933,0.86854,0.30646,2.18583,0.61058,0.0017228,0.0017228,0.0017228
9,970.237,0.46988,0.40788,0.90213,1,0.983,0.99444,0.90932,0.27493,7.92469,0.59426,0.0016832,0.0016832,0.0016832
10,1079.86,0.46319,0.39983,0.90604,0.94736,0.96667,0.99258,0.91854,0.30252,2.16994,0.63571,0.0016436,0.0016436,0.0016436
11,1186.39,0.45511,0.38099,0.89809,0.98328,0.97994,0.99403,0.93057,0.2649,0.92617,0.59309,0.001604,0.001604,0.001604
12,1292.72,0.4358,0.37129,0.88908,0.99059,1,0.99467,0.92799,0.24935,0.98677,0.58983,0.0015644,0.0015644,0.0015644
13,1399.47,0.42971,0.35337,0.88741,0.99888,0.98333,0.99492,0.93193,0.24561,1.0336,0.58368,0.0015248,0.0015248,0.0015248
14,1502.74,0.42378,0.3558,0.88819,0.97073,0.975,0.98983,0.93001,0.25502,0.67877,0.58542,0.0014852,0.0014852,0.0014852
15,1608.31,0.39784,0.32204,0.89067,0.99916,1,0.995,0.94092,0.23711,0.72194,0.5779,0.0014456,0.0014456,0.0014456
16,1713.71,0.40545,0.32591,0.88773,0.98961,0.975,0.99332,0.9314,0.25959,3.88954,0.60483,0.001406,0.001406,0.001406
17,1819.04,0.40173,0.32056,0.87732,0.99923,1,0.995,0.93141,0.24589,0.95269,0.58985,0.0013664,0.0013664,0.0013664
18,1924.47,0.40076,0.31442,0.88434,0.99982,1,0.995,0.9457,0.23905,0.51065,0.58242,0.0013268,0.0013268,0.0013268
19,2030.87,0.38023,0.30939,0.87079,0.99938,1,0.995,0.96453,0.21745,0.41389,0.57072,0.0012872,0.0012872,0.0012872
20,2136.29,0.37299,0.30064,0.88333,0.99622,1,0.995,0.93256,0.24442,0.53357,0.59965,0.0012476,0.0012476,0.0012476
21,2241.78,0.37741,0.29895,0.87913,1,0.99721,0.995,0.95093,0.22003,0.44781,0.57205,0.001208,0.001208,0.001208
22,2347.31,0.37099,0.2854,0.87111,0.99981,1,0.995,0.96271,0.19979,0.44173,0.55776,0.0011684,0.0011684,0.0011684
23,2452.71,0.36355,0.29801,0.87129,0.99927,1,0.995,0.94449,0.22532,0.64039,0.58463,0.0011288,0.0011288,0.0011288
24,2558.16,0.34918,0.27656,0.86893,0.99099,1,0.99475,0.95191,0.20985,0.54325,0.57058,0.0010892,0.0010892,0.0010892
25,2663.65,0.35069,0.28349,0.86041,0.99919,1,0.995,0.96183,0.20216,0.51351,0.57197,0.0010496,0.0010496,0.0010496
26,2769.13,0.34803,0.27792,0.85949,0.99678,0.99167,0.995,0.96363,0.18993,0.40393,0.55936,0.00101,0.00101,0.00101
27,2874.54,0.32594,0.25704,0.84693,0.99104,1,0.995,0.96243,0.19344,0.35932,0.55998,0.0009704,0.0009704,0.0009704
28,2979.96,0.34175,0.26022,0.86611,0.99948,1,0.995,0.9697,0.18875,0.38581,0.56162,0.0009308,0.0009308,0.0009308
29,3082.77,0.34321,0.2539,0.85689,0.99951,1,0.995,0.95756,0.19987,0.30957,0.56474,0.0008912,0.0008912,0.0008912
30,3189.87,0.32632,0.2483,0.84877,0.9967,1,0.995,0.9604,0.193,0.33598,0.56462,0.0008516,0.0008516,0.0008516
31,3296.62,0.31998,0.25245,0.85049,0.99947,1,0.995,0.96819,0.18905,0.47595,0.56209,0.000812,0.000812,0.000812
32,3402.42,0.31794,0.24821,0.85051,0.99973,1,0.995,0.97962,0.1752,0.31002,0.56271,0.0007724,0.0007724,0.0007724
