epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1043.51,1.57947,2.9619,4.2606,1.23376,0,0.84913,0.11827,0.11837,0.08458,0.85425,0.11118,0.11197,0.07268,1.31348,2.06348,2.79386,1.09493,0,6.15031e-05,6.15031e-05,6.15031e-05
2,2000.45,1.44979,2.42154,2.59717,1.12995,0,0.55866,0.22616,0.22031,0.1538,0.59091,0.19064,0.19341,0.11799,1.21462,1.87594,1.98971,1.04107,0,0.000120731,0.000120731,0.000120731
3,2955.87,1.38024,2.29799,2.15501,1.09505,0,0.61297,0.25934,0.27563,0.19186,0.57985,0.23166,0.23966,0.14498,1.18655,1.82224,1.74668,1.03502,0,0.000177517,0.000177517,0.000177517
4,3911.41,1.34235,2.20397,1.93361,1.07674,0,0.58224,0.3132,0.33563,0.23537,0.55315,0.28403,0.29946,0.18002,1.13831,1.77798,1.59035,1.00835,0,0.000174011,0.000174011,0.000174011
5,4867.02,1.28372,2.12725,1.77771,1.0571,0,0.56156,0.33451,0.37303,0.26164,0.53446,0.30901,0.33112,0.20011,1.13335,1.68545,1.46921,0.99555,0,0.000170348,0.000170348,0.000170348
6,5819.04,1.26853,2.08146,1.67394,1.0469,0,0.66159,0.34127,0.39288,0.27501,0.63698,0.30956,0.34806,0.21589,1.10554,1.65735,1.38448,0.98275,0,0.000166685,0.000166685,0.000166685
7,6772.76,1.24608,2.03314,1.59198,1.0348,0,0.67583,0.35961,0.42015,0.29585,0.6646,0.33548,0.38248,0.23288,1.06957,1.61298,1.26503,0.97925,0,0.000163022,0.000163022,0.000163022
8,7726.43,1.22468,2.00313,1.5082,1.02905,0,0.69368,0.38653,0.44869,0.31571,0.66676,0.3563,0.40449,0.24651,1.0513,1.59196,1.21722,0.96386,0,0.000159359,0.000159359,0.000159359
9,8681.31,1.22191,1.98513,1.46049,1.02081,0,0.62288,0.4236,0.46185,0.32722,0.59769,0.40256,0.43148,0.26093,1.05589,1.55898,1.15825,0.9651,0,0.000155696,0.000155696,0.000155696
10,9638.22,1.19508,1.94368,1.38763,1.0173,0,0.57279,0.43589,0.4743,0.33867,0.5454,0.40742,0.4386,0.26434,1.03041,1.56234,1.10332,0.95342,0,0.000152033,0.000152033,0.000152033
11,10591.4,1.18777,1.92573,1.3448,1.01119,0,0.63306,0.4483,0.49764,0.35501,0.61455,0.41958,0.46408,0.27919,1.02856,1.52577,1.04872,0.95342,0,0.00014837,0.00014837,0.00014837
12,11546.7,1.18325,1.92427,1.31958,1.00543,0,0.63979,0.45863,0.50555,0.36073,0.61482,0.43911,0.47014,0.2836,1.00922,1.50109,1.0523,0.94996,0,0.000144707,0.000144707,0.000144707
13,12501.6,1.16355,1.89076,1.27498,1.00314,0,0.6467,0.47442,0.51914,0.37506,0.62106,0.45547,0.4893,0.29639,1.00385,1.49421,0.99593,0.94232,0,0.000141044,0.000141044,0.000141044
14,13489.7,1.13966,1.85942,1.2383,0.99288,0,0.666,0.45682,0.52867,0.38137,0.63889,0.43722,0.49606,0.29677,1.00063,1.48658,0.98513,0.94232,0,0.000137381,0.000137381,0.000137381
15,14448.3,1.14561,1.85314,1.21816,0.99439,0,0.59485,0.49305,0.53072,0.38147,0.57464,0.47285,0.50095,0.30287,1.00448,1.47445,0.95265,0.947,0,0.000133718,0.000133718,0.000133718
16,15403.5,1.13322,1.83987,1.19771,0.98977,0,0.60202,0.50285,0.54698,0.39783,0.58264,0.48377,0.52066,0.31802,0.97761,1.45323,0.92202,0.93465,0,0.000130055,0.000130055,0.000130055
17,16334.2,1.12694,1.82004,1.16142,0.98623,0,0.70434,0.50204,0.55734,0.40201,0.6824,0.48305,0.52569,0.31744,0.98604,1.45555,0.91237,0.93802,0,0.000126392,0.000126392,0.000126392
